distance,consume,speed,temp_inside,temp_outside,gas_type,AC,rain,sun,temp_diff,fuel_spent,cost
14.2,5.4,36,20.0,6,SP98,0,0,0,14.0,0.7668,1.49526
5.2,4.5,39,20.0,10,SP98,0,0,0,10.0,0.234,0.45630000000000004
10.5,3.6,42,20.0,10,SP98,0,0,0,10.0,0.37800000000000006,0.7371000000000001
12.3,5.2,57,20.0,10,SP98,0,0,0,10.0,0.6396000000000001,1.24722
11.8,4.9,25,20.0,11,SP98,0,0,0,9.0,0.5782,1.12749
12.3,6.2,58,20.0,11,SP98,0,1,0,9.0,0.7626000000000001,1.4870700000000001
13.2,4.3,51,20.0,11,SP98,0,1,0,9.0,0.5676,1.10682
13.0,5.0,45,20.0,11,SP98,0,1,0,9.0,0.65,1.2675
12.9,5.1,32,20.0,11,SP98,0,0,0,9.0,0.6578999999999999,1.2829049999999997
13.9,5.6,22,20.0,8,SP98,0,0,0,12.0,0.7784,1.51788
11.8,4.3,37,20.0,6,SP98,0,0,0,14.0,0.5074000000000001,0.9894300000000001
12.2,5.8,60,20.0,11,SP98,0,0,0,9.0,0.7075999999999999,1.3798199999999998
12.5,4.0,51,20.0,13,SP98,0,0,0,7.0,0.5,0.975
12.4,4.7,43,21.9,10,SP98,0,0,0,11.899999999999999,0.5828,1.13646
11.8,5.9,21,20.0,9,SP98,1,1,0,11.0,0.6962,1.35759
11.8,5.3,52,21.9,11,SP98,0,0,0,10.899999999999999,0.6254,1.2195299999999998
12.5,4.2,57,20.0,11,SP98,0,0,0,9.0,0.525,1.02375
15.7,5.3,33,21.9,9,SP98,0,0,0,12.899999999999999,0.8321,1.6225949999999998
12.9,5.7,35,21.9,9,SP98,0,0,0,12.899999999999999,0.7353000000000001,1.4338350000000002
6.4,4.4,37,21.9,10,SP98,0,0,0,11.899999999999999,0.2816,0.54912
5.3,4.1,34,21.9,9,SP98,0,0,0,12.899999999999999,0.21729999999999997,0.4237349999999999
26.2,5.8,71,21.0,8,SP98,1,1,0,13.0,1.5195999999999998,2.9632199999999997
18.8,5.0,62,21.9,9,SP98,0,1,0,12.899999999999999,0.94,1.833
4.9,6.9,25,21.0,12,SP98,0,1,0,9.0,0.3381,0.659295
12.4,5.4,18,21.0,11,SP98,1,1,0,10.0,0.6696000000000001,1.3057200000000002
22.9,5.3,45,20.5,7,SP98,0,0,0,13.5,1.2137,2.366715
162.7,5.5,75,23.0,1,SP98,0,0,0,22.0,8.9485,17.449575
4.9,6.5,26,21.0,1,SP98,0,0,0,20.0,0.3185,0.621075
11.8,4.7,36,21.0,4,SP98,0,0,0,17.0,0.5546000000000001,1.0814700000000002
16.6,5.1,56,21.0,7,SP98,0,0,0,14.0,0.8466,1.65087
12.4,5.7,37,21.0,7,SP98,0,0,0,14.0,0.7068000000000001,1.3782600000000003
15.9,5.4,25,21.0,7,SP98,0,0,0,14.0,0.8586000000000001,1.6742700000000001
5.1,8.7,21,23.5,5,SP98,0,0,0,18.5,0.44369999999999993,0.8652149999999998
22.4,4.9,66,20.5,7,SP98,0,0,0,13.5,1.0976000000000001,2.14032
31.1,4.7,42,20.5,7,SP98,0,0,0,13.5,1.4617000000000002,2.850315
4.9,6.3,27,20.5,3,SP98,0,0,0,17.5,0.30870000000000003,0.6019650000000001
11.8,5.1,26,23.0,4,SP98,0,1,0,19.0,0.6018,1.17351
22.9,6.0,42,23.0,4,SP98,0,1,0,19.0,1.3739999999999997,2.679299999999999
12.4,4.6,38,23.0,1,SP98,0,1,0,22.0,0.5704,1.11228
12.9,5.8,40,23.0,4,SP98,0,0,0,19.0,0.7482,1.45899
11.8,5.1,43,23.0,0,SP98,0,0,0,23.0,0.6018,1.17351
12.2,5.8,58,23.0,2,SP98,0,0,0,21.0,0.7075999999999999,1.3798199999999998
24.8,4.6,55,23.0,3,SP98,0,0,0,20.0,1.1408,2.22456
14.2,5.6,24,23.0,8,SP98,0,0,0,15.0,0.7951999999999999,1.5506399999999998
11.8,4.6,38,23.0,0,SP98,0,1,0,23.0,0.5428000000000001,1.0584600000000002
12.2,6.3,57,23.0,0,SP98,0,1,0,23.0,0.7686,1.49877
24.7,5.5,56,25.0,1,SP98,0,0,0,24.0,1.3585,2.649075
6.8,4.3,46,24.0,2,SP98,0,0,0,22.0,0.2924,0.57018
17.3,5.6,37,21.5,1,SP98,0,0,0,20.5,0.9688,1.88916
11.8,4.3,44,21.5,-3,SP98,0,0,0,24.5,0.5074000000000001,0.9894300000000001
15.9,5.7,46,21.5,5,SP98,0,0,0,16.5,0.9063000000000001,1.7672850000000002
5.1,6.4,39,21.5,4,SP98,0,0,0,17.5,0.3264,0.63648
16.1,4.5,33,21.5,6,SP98,0,0,0,15.5,0.7245,1.4127750000000001
11.8,4.5,43,21.5,3,SP98,0,0,0,18.5,0.531,1.03545
4.2,6.0,26,21.5,5,SP98,0,0,0,16.5,0.252,0.4914
17.4,5.1,30,21.5,5,SP98,0,0,0,16.5,0.8873999999999999,1.7304299999999997
23.5,6.0,25,21.5,5,SP98,0,1,0,16.5,1.41,2.7495
11.8,4.5,38,21.5,5,SP98,0,1,0,16.5,0.531,1.03545
12.3,6.1,61,21.5,10,SP98,0,1,0,11.5,0.7503,1.463085
43.7,4.7,44,22.0,9,SP98,0,1,0,13.0,2.0539,4.005105
12.1,4.2,43,22.0,4,SP98,0,0,0,18.0,0.5082,0.9909899999999999
56.1,4.8,82,22.0,13,SP98,0,0,0,9.0,2.6927999999999996,5.250959999999999
39.0,4.1,61,22.0,16,SP98,0,0,0,6.0,1.5989999999999998,3.1180499999999993
11.8,4.5,41,21.5,13,SP98,0,0,0,8.5,0.531,1.03545
38.5,4.8,63,21.5,14,SP98,0,0,0,7.5,1.8479999999999999,3.6035999999999997
28.2,4.6,54,21.5,14,SP98,0,0,0,7.5,1.2972,2.52954
2.9,7.4,24,21.5,14,SP98,0,0,0,7.5,0.2146,0.41847
6.1,5.6,24,21.5,13,SP98,0,0,0,8.5,0.34159999999999996,0.6661199999999999
19.6,4.9,43,21.5,13,SP98,0,0,0,8.5,0.9604000000000003,1.8727800000000006
22.2,3.8,42,21.9,15,SP98,0,0,0,6.899999999999999,0.8436,1.64502
13.6,4.5,44,19.0,18,SP98,0,0,0,1.0,0.612,1.1934
12.6,4.1,33,21.9,17,SP98,0,0,0,4.899999999999999,0.5166,1.0073699999999999
8.7,5.3,28,22.5,12,SP98,1,1,0,10.5,0.4610999999999999,0.8991449999999997
7.9,4.7,31,22.5,12,SP98,1,0,0,10.5,0.3713,0.724035
2.4,9.0,26,20.0,10,SP98,0,0,0,10.0,0.21599999999999997,0.4211999999999999
4.9,6.3,26,20.0,10,SP98,0,0,0,10.0,0.30870000000000003,0.6019650000000001
18.1,3.6,36,20.0,19,SP98,0,0,0,1.0,0.6516000000000001,1.27062
25.9,3.7,39,20.0,21,SP98,0,0,0,-1.0,0.9582999999999999,1.868685
1.3,11.5,21,20.0,10,SP98,0,0,0,10.0,0.14950000000000002,0.29152500000000003
14.1,5.0,22,20.0,12,SP98,0,0,0,8.0,0.705,1.37475
13.4,5.5,31,20.0,9,SP98,0,0,0,11.0,0.737,1.43715
6.4,4.7,33,20.0,8,SP98,0,0,0,12.0,0.3008,0.58656
12.9,4.5,42,20.0,13,SP98,0,0,0,7.0,0.5805,1.131975
12.1,4.4,33,22.5,5,SP98,0,0,0,17.5,0.5324,1.0381799999999999
15.7,4.1,32,22.5,13,SP98,0,0,0,9.5,0.6436999999999999,1.2552149999999997
16.2,4.4,26,22.5,11,SP98,0,0,0,11.5,0.7128,1.3899599999999999
12.8,4.6,22,22.5,12,SP98,0,0,0,10.5,0.5888,1.1481599999999998
19.0,4.4,58,22.5,17,SP98,0,0,1,5.5,0.8360000000000001,1.6302
29.0,4.0,27,22.5,12,SP98,0,0,0,10.5,1.16,2.262
12.1,5.0,32,22.5,9,SP98,0,0,0,13.5,0.605,1.1797499999999999
12.3,5.2,55,22.5,10,SP98,0,0,0,12.5,0.6396000000000001,1.24722
24.8,4.0,56,22.5,11,SP98,0,0,0,11.5,0.992,1.9344
12.9,5.1,34,22.5,8,SP98,0,1,0,14.5,0.6578999999999999,1.2829049999999997
11.8,4.5,39,22.5,3,SP98,0,0,0,19.5,0.531,1.03545
31.4,4.6,62,22.5,11,SP98,0,0,0,11.5,1.4443999999999997,2.816579999999999
19.0,5.1,53,22.5,4,SP98,0,1,0,18.5,0.9689999999999999,1.8895499999999996
13.0,5.7,38,22.5,3,SP98,1,1,0,19.5,0.7410000000000001,1.4449500000000002
11.8,4.8,42,22.5,2,SP98,0,0,0,20.5,0.5664,1.10448
13.0,6.2,32,22.5,4,SP98,0,0,0,18.5,0.806,1.5717
11.8,5.0,43,22.5,1,SP98,0,0,0,21.5,0.59,1.1504999999999999
27.1,5.0,69,22.5,8,SP98,0,0,0,14.5,1.355,2.6422499999999998
5.2,4.6,38,22.5,8,SP98,0,0,0,14.5,0.23919999999999997,0.4664399999999999
25.7,4.9,50,22.0,10,SP98,0,1,0,12.0,1.2593,2.455635
16.0,4.1,40,22.0,10,SP98,0,0,0,12.0,0.6559999999999999,1.2792
16.1,4.5,32,22.0,19,SP98,0,0,0,3.0,0.7245,1.4127750000000001
16.0,4.4,40,22.0,7,SP98,1,1,0,15.0,0.7040000000000001,1.3728
16.0,4.5,41,22.0,11,SP98,0,0,0,11.0,0.72,1.404
24.7,4.5,26,22.0,10,SP98,0,0,0,12.0,1.1115,2.1674249999999997
16.0,3.9,42,22.0,8,SP98,0,0,0,14.0,0.624,1.2167999999999999
15.4,4.6,43,22.0,16,SP98,0,0,0,6.0,0.7083999999999999,1.3813799999999998
16.0,3.8,40,22.0,8,SP98,0,0,0,14.0,0.608,1.1856
32.1,4.5,50,22.0,16,SP98,0,0,0,6.0,1.4445000000000001,2.8167750000000003
25.9,4.4,40,22.0,14,SP98,0,0,0,8.0,1.1396000000000002,2.22222
48.6,4.3,44,22.0,12,SP98,0,0,0,10.0,2.0898,4.07511
37.2,4.0,45,22.0,20,SP98,0,0,1,2.0,1.4880000000000002,2.9016
28.8,3.9,35,22.0,15,SP98,0,0,1,7.0,1.1232,2.1902399999999997
6.7,5.0,30,22.0,17,SP98,0,0,0,5.0,0.335,0.65325
7.4,4.1,25,22.0,18,SP98,0,0,1,4.0,0.3034,0.59163
17.3,4.1,22,22.0,25,SP98,0,0,1,-3.0,0.7092999999999999,1.3831349999999998
6.6,5.6,43,22.0,16,SP98,0,0,0,6.0,0.36959999999999993,0.7207199999999998
14.3,4.1,26,22.0,20,SP98,0,0,0,2.0,0.5862999999999999,1.1432849999999999
13.3,4.6,33,22.0,18,SP98,0,0,0,4.0,0.6118,1.19301
8.3,4.9,26,22.0,23,SP98,0,0,0,-1.0,0.40670000000000006,0.7930650000000001
12.7,4.5,39,22.0,27,SP98,0,0,1,-5.0,0.5715,1.114425
16.5,4.1,47,22.0,14,SP98,0,0,0,8.0,0.6764999999999999,1.3191749999999998
20.6,4.1,38,22.0,21,SP98,0,0,0,1.0,0.8445999999999999,1.6469699999999998
16.3,4.5,58,22.0,16,SP98,0,0,0,6.0,0.7335,1.430325
18.7,4.2,65,25.0,18,SP98,1,0,1,7.0,0.7854000000000001,1.53153
36.5,3.9,54,23.0,18,SP98,0,0,1,5.0,1.4235,2.7758249999999998
19.0,5.0,35,22.0,15,SP98,1,0,1,7.0,0.95,1.8524999999999998
16.6,4.4,46,22.0,5,SP98,1,0,0,17.0,0.7304,1.42428
29.9,4.5,32,22.0,18,SP98,1,0,0,4.0,1.3455,2.623725
16.0,3.8,42,22.0,11,SP98,0,0,0,11.0,0.608,1.1856
21.1,5.1,33,22.0,10,SP98,0,1,0,12.0,1.0761,2.098395
16.0,3.9,40,22.0,10,SP98,0,0,0,12.0,0.624,1.2167999999999999
11.9,5.3,34,22.0,13,SP98,0,0,0,9.0,0.6307,1.229865
10.1,4.2,35,22.0,16,SP98,0,0,0,6.0,0.4242,0.82719
31.9,4.3,33,22.0,16,SP98,0,0,0,6.0,1.3717,2.6748149999999997
18.7,4.0,60,22.0,13,SP98,0,0,0,9.0,0.748,1.4586
10.8,4.7,48,22.0,17,SP98,0,0,1,5.0,0.5076,0.98982
19.8,4.0,56,22.0,17,SP98,0,0,1,5.0,0.792,1.5444
11.3,4.3,38,22.0,17,SP98,0,0,0,5.0,0.48590000000000005,0.947505
11.5,5.3,53,22.0,15,SP98,0,0,0,7.0,0.6094999999999999,1.1885249999999998
21.4,5.2,51,22.0,13,SP98,0,0,0,9.0,1.1128,2.16996
32.0,4.9,53,22.0,15,SP98,0,0,0,7.0,1.568,3.0576
41.9,4.7,53,22.0,14,SP98,0,0,0,8.0,1.9693,3.840135
211.0,4.6,80,22.0,20,SP98,0,0,0,2.0,9.706,18.9267
216.1,5.3,90,22.0,21,SP98,0,0,1,1.0,11.453299999999999,22.333934999999997
25.5,3.6,27,22.0,27,SP98,0,0,1,-5.0,0.9179999999999999,1.7900999999999998
16.6,4.2,52,22.0,15,SP98,0,1,0,7.0,0.6972000000000002,1.3595400000000002
25.9,4.1,43,22.0,24,SP98,0,0,0,-2.0,1.0618999999999998,2.070705
16.5,4.0,48,22.0,15,SP98,0,0,0,7.0,0.66,1.287
22.1,3.9,29,22.0,26,SP98,0,0,0,-4.0,0.8619,1.680705
18.3,4.3,46,22.0,16,SP98,0,0,0,6.0,0.7868999999999999,1.534455
16.1,4.8,36,22.0,18,SP98,0,1,0,4.0,0.7728,1.50696
16.0,4.1,46,22.0,17,SP98,0,0,0,5.0,0.6559999999999999,1.2792
16.3,4.0,35,22.0,23,SP98,0,0,0,-1.0,0.652,1.2714
16.0,3.7,44,22.0,16,SP98,0,0,0,6.0,0.5920000000000001,1.1544
18.3,4.3,46,22.0,23,SP98,0,0,0,-1.0,0.7868999999999999,1.534455
4.5,5.2,23,22.0,23,SP98,0,0,1,-1.0,0.234,0.45630000000000004
17.0,4.2,48,22.0,16,SP98,0,0,0,6.0,0.7140000000000001,1.3923
6.1,5.0,35,24.5,18,SP98,0,0,0,6.5,0.305,0.59475
6.1,5.0,33,22.0,24,SP98,0,0,1,-2.0,0.305,0.59475
17.3,4.2,36,22.0,22,SP98,0,0,0,0.0,0.7266000000000001,1.4168700000000003
6.0,4.8,27,22.0,17,SP98,0,0,0,5.0,0.288,0.5616
16.0,4.1,45,22.0,15,SP98,0,0,0,7.0,0.6559999999999999,1.2792
15.4,4.9,55,22.0,18,SP98,0,0,0,4.0,0.7546,1.47147
15.4,4.3,39,22.0,23,SP98,0,0,0,-1.0,0.6622,1.29129
16.0,3.9,35,22.0,18,SP98,0,0,0,4.0,0.624,1.2167999999999999
15.4,4.5,52,22.0,26,SP98,0,0,0,-4.0,0.693,1.3513499999999998
16.6,4.1,48,25.5,30,SP98,1,0,1,-4.5,0.6806,1.32717
15.4,5.0,48,25.5,31,SP98,1,0,0,-5.5,0.77,1.5015
16.0,4.0,43,22.0,21,SP98,1,0,0,1.0,0.64,1.248
15.4,4.5,42,22.0,30,SP98,0,0,0,-8.0,0.693,1.3513499999999998
16.0,3.6,43,22.0,19,SP98,0,0,0,3.0,0.5760000000000001,1.1232000000000002
20.9,4.1,33,22.0,21,SP98,0,0,0,1.0,0.8568999999999999,1.6709549999999997
32.1,3.9,47,22.0,26,SP98,0,0,0,-4.0,1.2519,2.441205
15.3,6.6,16,24.0,27,SP98,1,0,0,-3.0,1.0098,1.96911
28.5,4.0,44,25.0,23,SP98,1,0,0,2.0,1.14,2.223
11.9,3.7,33,25.0,19,SP98,0,0,0,6.0,0.4403,0.858585
14.5,4.3,36,25.0,22,SP98,0,0,0,3.0,0.6234999999999999,1.215825
16.6,4.1,49,22.0,26,SP98,0,0,1,-4.0,0.6806,1.32717
16.2,4.4,39,24.5,17,SP98,1,0,0,7.5,0.7128,1.3899599999999999
16.7,3.8,44,24.5,23,SP98,0,0,1,1.5,0.6345999999999999,1.2374699999999998
8.3,5.0,52,24.5,27,SP98,0,0,0,-2.5,0.415,0.8092499999999999
5.5,3.7,33,24.5,28,SP98,0,0,1,-3.5,0.20350000000000001,0.39682500000000004
13.6,3.7,33,24.5,28,SP98,0,0,1,-3.5,0.5032,0.9812399999999999
16.0,3.7,39,24.5,18,SP98,0,0,0,6.5,0.5920000000000001,1.1544
16.1,4.3,38,25.0,31,SP98,1,0,0,-6.0,0.6923,1.349985
16.0,3.8,45,25.0,19,SP98,0,0,0,6.0,0.608,1.1856
15.4,4.6,42,25.0,31,SP98,1,0,0,-6.0,0.7083999999999999,1.3813799999999998
14.7,5.0,25,25.0,30,SP98,1,0,0,-5.0,0.735,1.43325
